# supercooling log10(rate) log10(rate_min) log10(rate_max) temperature
1.400000000000000000e+01 -1.843331688095375398e+02 -2.203958072796355907e+02 -1.482705303394394889e+02 2.980000000000000000e+02
1.446464646464646542e+01 -1.693393161604349473e+02 -2.040012149412013400e+02 -1.346774173796685545e+02 2.975353535353535221e+02
1.492929292929292906e+01 -1.557587116440404600e+02 -1.890536761141742090e+02 -1.224637471739067109e+02 2.970707070707070443e+02
1.539393939393939448e+01 -1.434213275072651470e+02 -1.753905750291784216e+02 -1.114520799853518724e+02 2.966060606060606233e+02
1.585858585858585812e+01 -1.321818488987470630e+02 -1.628715037570085258e+02 -1.014921940404856002e+02 2.961414141414141454e+02
1.632323232323232176e+01 -1.219154947756243814e+02 -1.513746765379899557e+02 -9.245631301325880713e+01 2.956767676767676676e+02
1.678787878787878896e+01 -1.125146396379464733e+02 -1.407940170968140592e+02 -8.423526217907888736e+01 2.952121212121211897e+02
1.725252525252525260e+01 -1.038860656491788319e+02 -1.310367739108091598e+02 -7.673535738754850399e+01 2.947474747474747687e+02
1.771717171717171624e+01 -9.594871408548249292e+01 -1.220215541754648854e+02 -6.987587399550010048e+01 2.942828282828282909e+02
1.818181818181817988e+01 -8.863183544219519661e+01 -1.136766923145215458e+02 -6.358697856986884744e+01 2.938181818181818130e+02
1.864646464646464707e+01 -8.187345907495434005e+01 -1.059388883403363479e+02 -5.780802980957233217e+01 2.933535353535353352e+02
1.911111111111111072e+01 -7.561912138030233166e+01 -9.875206518275734879e+01 -5.248617757784731452e+01 2.928888888888889142e+02
1.957575757575757791e+01 -6.982080320971034837e+01 -9.206640508354848862e+01 -4.757520133587220812e+01 2.924242424242424363e+02
2.004040404040404155e+01 -6.443603883241802066e+01 -8.583753330543049742e+01 -4.303454435940553680e+01 2.919595959595959584e+02
2.050505050505050519e+01 -5.942716471663147360e+01 -8.002582353811219207e+01 -3.882850589515075512e+01 2.914949494949494806e+02
2.096969696969696884e+01 -5.476068455939750379e+01 -7.459580481545697239e+01 -3.492556430333803519e+01 2.910303030303030027e+02
2.143434343434343248e+01 -5.040672943382972448e+01 -6.951565275620073692e+01 -3.129780611145871561e+01 2.905656565656565817e+02
2.189898989898989967e+01 -4.633859827091247041e+01 -6.475675227819067459e+01 -2.792044426363426268e+01 2.901010101010101039e+02
2.236363636363636331e+01 -4.253236406875426923e+01 -6.029331964732067917e+01 -2.477140849018785929e+01 2.896363636363636260e+02
2.282828282828283051e+01 -3.896653665129987587e+01 -5.610207586324877127e+01 -2.183099743935098047e+01 2.891717171717171482e+02
2.329292929292929415e+01 -3.562177146818407891e+01 -5.216196230481709506e+01 -1.908158063155106632e+01 2.887070707070707272e+02
2.375757575757575779e+01 -3.248061890125417506e+01 -4.845389394057511367e+01 -1.650734386193323289e+01 2.882424242424242493e+02
2.422222222222222143e+01 -2.952730620698725161e+01 -4.496054292844991096e+01 -1.409406948552459404e+01 2.877777777777777715e+02
2.468686868686868507e+01 -2.674754895394500309e+01 -4.166615017620225103e+01 -1.182894773168775338e+01 2.873131313131312936e+02
2.515151515151515227e+01 -2.412838583808292015e+01 -3.855635893539660231e+01 -9.700412740769241537e+00 2.868484848484848726e+02
2.561616161616161591e+01 -2.165803530398074628e+01 -3.561806952085904499e+01 -7.698001087102445794e+00 2.863838383838383947e+02
2.608080808080808310e+01 -1.932576907335861094e+01 -3.283931013610071403e+01 -5.812228010616507845e+00 2.859191919191919169e+02
2.654545454545454675e+01 -1.712180201661758261e+01 -3.020912385301669190e+01 -4.034480180218475098e+00 2.854545454545454390e+02
2.701010101010101039e+01 -1.503719437049370811e+01 -2.771746748266701843e+01 -2.356921258320397783e+00 2.849898989898989612e+02
2.747474747474747403e+01 -1.306376635125561947e+01 -2.535512290835428217e+01 -7.724097941569567638e-01 2.845252525252525402e+02
2.793939393939393767e+01 -1.119402186192035842e+01 -2.311361729071960980e+01 7.255735668788929615e-01 2.840606060606060623e+02
2.840404040404040131e+01 -9.421081690961601751e+00 -2.098515293925864711e+01 2.142989557335445383e+00 2.835959595959595845e+02
2.886868686868686851e+01 -7.738623518373649368e+00 -1.896254393876435174e+01 3.485296902017053888e+00 2.831313131313131066e+02
2.933333333333333570e+01 -6.140829249190097983e+00 -1.703916030840205664e+01 4.757501810021860678e+00 2.826666666666666856e+02
2.979797979797979934e+01 -4.622337373606307587e+00 -1.520887721188982766e+01 5.964202464677213378e+00 2.822020202020202078e+02
3.026262626262626299e+01 -3.178201025877269270e+00 -1.346603007043247580e+01 7.109628018677936367e+00 2.817373737373737299e+02
3.072727272727272663e+01 -1.803850247167754217e+00 -1.180537404418600822e+01 8.197673549850501118e+00 2.812727272727272521e+02
3.119191919191919027e+01 -4.950586204304866511e-01 -1.022204806776772834e+01 9.231930826906756593e+00 2.808080808080808310e+02
3.165656565656565746e+01 7.520881332984685752e-01 -8.711540701042956414e+00 1.021571696763989223e+01 2.803434343434343532e+02
3.212121212121212466e+01 1.941219672083605019e+00 -7.269660147662301952e+00 1.115209949182951199e+01 2.798787878787878753e+02
3.258585858585858830e+01 3.075700545337390235e+00 -5.892513731593234994e+00 1.204391482226801635e+01 2.794141414141413975e+02
3.305050505050505194e+01 4.158649275753833585e+00 -4.576487483292525305e+00 1.289378603480019336e+01 2.789494949494949196e+02
